channel_name,channel_genre
Sony Max 2,MOVIES
Aaj Tak Tez,NEWS AND CURRENT AFFAIRS
ZEE BOLLYWOOD,MOVIES
CHANNEL WIN,DEVOTIONAL
ABP Majha,NEWS AND CURRENT AFFAIRS
Sony Max,MOVIES
Zee Action,MOVIES
Home Shop 18,Infotainment
& Pictures,MOVIES
NT 1,Infotainment
Dabangg,MOVIES
EZMall,Infotainment
SONY WAH,MOVIES
Star Pravah,General Entertainment
Zee Hindustan,NEWS AND CURRENT AFFAIRS
Sony Pal,General Entertainment
Sony,General Entertainment
Sony Sab,General Entertainment
Arihant,DEVOTIONAL
God TV,DEVOTIONAL
HOPE Channel,DEVOTIONAL
Divya,DEVOTIONAL
Sadhna National,DEVOTIONAL
Lord Buddha,DEVOTIONAL
Aastha,DEVOTIONAL
Sanskar tv,DEVOTIONAL
Darshan 24,DEVOTIONAL
Satsang,DEVOTIONAL
Aastha Bhajan,DEVOTIONAL
Peace Of Mind TV,DEVOTIONAL
Paras TV,DEVOTIONAL
Shubsandesh TV,DEVOTIONAL
Jinvani,DEVOTIONAL
Surya Bhakti,DEVOTIONAL
Sarv Dharam Sangam,DEVOTIONAL
Adhyatm,DEVOTIONAL
Vedic,Infotainment
ETC Bollywood,MUSIC
India TV,NEWS AND CURRENT AFFAIRS
Republic Bharat,NEWS AND CURRENT AFFAIRS
India News,NEWS AND CURRENT AFFAIRS
News Nation,NEWS AND CURRENT AFFAIRS
News 24,NEWS AND CURRENT AFFAIRS
TV9 Marathi,NEWS AND CURRENT AFFAIRS
SURYA SAMACHAR,NEWS AND CURRENT AFFAIRS
Khabar Fast,NEWS AND CURRENT AFFAIRS
Zee Anmol,General Entertainment
News X,NEWS AND CURRENT AFFAIRS
Zee TV,General Entertainment
Big Magic,General Entertainment
&TV,General Entertainment
ZEE ANMOL CINEMA,MOVIES
Saam,General Entertainment
9X Jhakaas,MUSIC
SANGEET MARATHI,MUSIC
Jai Maharashtra,NEWS AND CURRENT AFFAIRS
MaiBoli,General Entertainment
ABP Majha,NEWS AND CURRENT AFFAIRS
ABP ASMITA,NEWS AND CURRENT AFFAIRS
Sangeet Bhojpuri,MUSIC
9X Jalwa,MUSIC
9XM,MUSIC
9X O,MUSIC
E 24,MUSIC
ZEE Talkies,MOVIES
Zee 24 Taas,NEWS AND CURRENT AFFAIRS
Zee Marathi,General Entertainment
Cinema TV,MOVIES
B4U Movies,MOVIES
Dangal,MOVIES
Wow Cinema,MOVIES
Manoranjan TV,MOVIES
Oscar Bhojpuri Movies,MOVIES
ABP Ananda,NEWS AND CURRENT AFFAIRS
Aakash Aath,General Entertainment
Aradhana,DEVOTIONAL
I PLUS,DEVOTIONAL
Chardikala Time TV,General Entertainment
PTC News,NEWS AND CURRENT AFFAIRS
PTC Punjabi,General Entertainment
PTC Chakde,MUSIC
Gulistan News,NEWS AND CURRENT AFFAIRS
Russia Today,NEWS AND CURRENT AFFAIRS
France 24,NEWS AND CURRENT AFFAIRS
CGTN,NEWS AND CURRENT AFFAIRS
Munsif TV,NEWS AND CURRENT AFFAIRS
GOOD NEWS,DEVOTIONAL
VH1,MUSIC
NEWS18 LOKMAT,NEWS AND CURRENT AFFAIRS
Sonic,KIDS
Rishtey,General Entertainment
FYI,Infotainment
Nick,KIDS
MTV BEATS,MUSIC
SONY YAY,KIDS
Sony Mix,MUSIC
SONY MARATHI,General Entertainment
Aaj Tak,NEWS AND CURRENT AFFAIRS
Zee Business,NEWS AND CURRENT AFFAIRS
Zee Cinema,MOVIES
Zing,MUSIC
Zee News,NEWS AND CURRENT AFFAIRS
Zee Salaam,NEWS AND CURRENT AFFAIRS
ZEE YUVA,General Entertainment
Living Foodz,Infotainment
ABP News,NEWS AND CURRENT AFFAIRS
Fashion TV,Infotainment
B4U Music,MUSIC
BTVI,NEWS AND CURRENT AFFAIRS
Katyayani,DEVOTIONAL
REPUBLIC TV,NEWS AND CURRENT AFFAIRS
Bhojpuri Cinema,MOVIES
Movies House,MOVIES
J K Channel,NEWS AND CURRENT AFFAIRS
SURYA CINEMA,MOVIES
MTV INDIA,MUSIC
Colors,General Entertainment
CNBC Awaaz,NEWS AND CURRENT AFFAIRS
Colors Marathi,General Entertainment
News18 Urdu,NEWS AND CURRENT AFFAIRS
news18 india,NEWS AND CURRENT AFFAIRS
History TV18,Infotainment
Nick Junior,KIDS
RISHTEY CINEPLEX,MOVIES
